task,word_index,improvement_slope,text_acc,audio_acc,video_acc,prominence_mean_words5,POS_spaCy,Dep,Head,Clause_ID,Clause_Pos,ground_truth,context,sentiment_label,sentiment_score,Frequency,Valence,Arousal,Length
black,85,0.0033218833523741,-0.02514743044836361,0.09250248829054612,-0.018503663743615405,0.5292,VERB,conj,had,12,1,put,sleeve and put it on the turntable just so and put,Neutral,0.6033769845962524,4.625847271117809,5.09,3.86,3
black,90,-0.14874221287566974,0.026036458781863742,-0.2714479669694757,-0.2714479669694757,0.7706,NOUN,pobj,on,9,9,side,the turntable just so and put the needle down on side,Negative,0.705413281917572,4.0106391167366295,5.32,3.14,4
black,95,4.48501629934833e-17,0.6763644012866599,0.6763644012866599,0.6763644012866599,0.72,VERB,xcomp,caring,14,3,scratch,put the needle down on side one caring not to scratch,Neutral,0.7187336087226868,2.983175072037813,4.95,4.35,7
black,100,-0.10510967000020435,0.22523759472823066,0.22523759472823066,0.015018254727821955,0.4864,NOUN,dobj,let,9,13,part,side one caring not to scratch it and then let part,Negative,0.5499892234802246,4.125090713082634,4.77,3.36,4
black,123,0.35804667806772567,0.11643841020075711,0.0869589965106528,0.8325317663362083,1.1263999999999998,VERB,xcomp,had,21,2,lift,coming now When side one would end I had to lift,Positive,0.286823034286499,3.241048150671644,5.32,4.9,4
black,133,1.5722246740828329e-19,0.000971543384318732,0.020990448240026428,0.000971543384318732,0.2226,VERB,xcomp,get,24,2,read,lift the needle and here's my moment I get to read,Positive,0.6661764979362488,4.090011024007147,6.73,3.7,4
black,148,1.0875253747641687e-16,0.6376541259390698,0.6376541259390698,0.6376541259390698,1.0428000000000002,NOUN,nsubj,playing,27,3,commercial,Jefferson City Missouri Then I played commercials and while the commercials,Neutral,0.7668429017066956,2.9190780923760737,4.11,4.43,10
black,154,0.23913240995497778,0.31358345149695305,0.7918482714069084,0.7918482714069084,0.4234,VERB,xcomp,had,29,2,flip,commercials and while the commercials were playing I had to flip,Negative,0.8866081833839417,2.8627275283179747,5.6,4.62,4
black,172,-3.5300983081602516e-17,0.3913543038969143,0.3913543038969143,0.3913543038969143,1.6396000000000002,NUM,nummod,side,26,14,two,the turntable put the needle back down now on side two,Neutral,0.6106135845184326,4.735479132868749,6.3,3.33,3
black,190,-0.006498661892055593,0.09587277066241855,0.13945808828978473,0.08287544687830735,0.5334,VERB,advcl,know,36,3,get,country hits of the week play You know when you're getting,Neutral,0.46015283465385437,5.3687943501614095,6.09,3.67,3
black,201,0.33905545001306614,0.04792649183303116,0.7260373918591632,0.7260373918591632,1.0118,NOUN,appos,you,35,6,kind,a degree in communications or broadcasting they teach you all kinds,Neutral,0.7420288920402527,4.478941471757991,7.78,3.19,4
black,208,7.989548711695598e-18,0.21169505678510162,0.21169505678510162,0.21169505678510162,0.8624,VERB,ROOT,teach,39,5,teach,teach you all kinds of stuff but they do not teach,Negative,0.6811612844467163,3.5700757053216043,7.06,3.47,5
black,212,0.3794889771464423,0.10958808750791599,0.8685660418008007,0.8685660418008007,0.9976,VERB,ccomp,teach,40,3,flip,of stuff but they do not teach you how to flip,Negative,0.7629725933074951,2.8627275283179747,5.6,4.62,4
black,221,0.33786969886416185,-0.46733198823263716,0.20840740949568656,0.20840740949568656,1.1508,NOUN,nsubj,ends,40,12,break,to flip an album in record time before the commercial break,Neutral,0.9074762463569641,4.052155067199565,5.1,4.71,5
black,235,-0.10771210099535268,0.05568045595522201,-0.15974374603548328,-0.15974374603548328,0.6806000000000001,ADJ,amod,market,42,3,large,would eventually bring me here to St Louis It's the largest,Very Positive,0.489680677652359,3.325310371711061,5.77,5.35,5
black,244,-4.2942016284038616e-17,0.819714623220947,0.819714623220947,0.819714623220947,0.8173999999999999,ADJ,acomp,was,43,3,excite,the largest market I had ever been in I was excited,Very Positive,0.7179223299026489,2.041392685158225,7.79,6.61,6
black,248,3.5967413362016814e-17,0.2786578240360282,0.2786578240360282,0.2786578240360282,0.6374,ADJ,acomp,was,43,7,nervous,had ever been in I was excited and I was nervous,Positive,0.8019763231277466,3.534787358629492,3.56,5.51,7
black,255,0.38356573493802937,-0.5364934409890182,-0.41271305916331175,0.23063802888704035,1.412,VERB,xcomp,trying,46,2,get,and I was nervous and so I am trying to get,Positive,0.555035412311554,5.3687943501614095,6.09,3.67,3
black,263,-0.33125469209895353,0.48895074565070495,-0.18466945523299183,-0.17355863854720202,0.4392,VERB,ccomp,promise,48,4,go,trying to get to know the community And so I'm going,Negative,0.7025355696678162,5.286559753980304,6.32,4.86,2
black,272,0.27168198644070196,0.17270002143701568,0.7160639943184194,0.7160639943184194,0.6112,VERB,relcl,event,49,3,think,I'm going to every fundraiser and every event I can think,Neutral,0.38010507822036743,5.137550322564531,6.68,3.75,5
black,279,1.0003098100699231e-17,0.21998499205888278,0.21998499205888278,0.21998499205888278,0.7030000000000001,NOUN,pobj,of,48,15,event,event I can think of and after one of those events,Neutral,0.5799576044082642,3.1290450598879582,6.21,5.1,5
black,295,-0.1331816611482339,0.33138706846509364,0.06502374616862588,0.06502374616862588,0.381,ADJ,amod,man,51,2,young,actually here at the Sheldon in St Louis Missouri a young,Positive,0.4938085973262787,4.093526743699675,6.31,4.09,5
black,305,0.3263295487100141,0.17455931866948934,0.8272184160895174,0.8272184160895174,0.3016,ADJ,acomp,was,52,3,black,young man approached me outside on the sidewalk He was black,Neutral,0.3097717761993408,3.932778070060551,5.4,3.58,5
black,308,4.217690835720361e-17,0.7406772113528574,0.7406772113528574,0.7406772113528574,0.2461999999999999,VERB,conj,was,52,5,say,me outside on the sidewalk He was black and he said,Negative,0.4149937033653259,4.92236209678479,5.91,4.43,3
black,315,0.4771296200744605,-0.23584056481154814,0.7184186753373728,0.7184186753373728,0.5362,ADJ,acomp,were,54,5,black,black and he said to me I knew you were black,Very Negative,0.34726160764694214,3.932778070060551,5.4,3.58,5
black,323,-0.050718304760633964,0.05600416413127502,0.05600416413127502,-0.045432445389992915,1.6344,VERB,ccomp,keep,56,4,hear,you were black Now keep in mind that I had heard,Very Positive,0.6375701427459717,4.452154585714663,6.68,3.62,4
black,331,0.42695224068160803,-0.020819172982952775,0.8330853083802631,0.8330853083802631,0.4034,VERB,ROOT,sound,57,2,sound,I had heard pretty much my whole adult life You sound,Positive,0.8774822950363159,3.8641549560020256,6.45,4.14,5
black,337,8.932978819524262e-18,0.07468886242183777,0.07468886242183777,0.07468886242183777,1.2799999999999998,VERB,ROOT,heard,59,2,hear,whole adult life You sound white I'd heard that I'd heard,Very Positive,0.5154095888137817,4.452154585714663,6.68,3.62,4
black,346,2.875962207752985e-17,0.23682554006164938,0.23682554006164938,0.23682554006164938,0.3398,ADJ,amod,girl,61,5,white,I'd heard Oh you sound white You sound like a white,Very Positive,0.34357932209968567,3.941759813814696,6.18,3.35,5
black,361,-3.9222333772692665e-18,0.29493282095716095,0.29493282095716095,0.29493282095716095,0.7110000000000001,ADJ,acomp,were,64,5,black,but I had never ever heard I knew you were black,Very Negative,0.464082270860672,3.932778070060551,5.4,3.58,5
black,368,5.2164772288350804e-17,0.17616650308172987,0.17616650308172987,0.17616650308172987,1.079,NOUN,pobj,about,65,7,debate,knew you were black So he tells me about this debate,Neutral,0.3684679865837097,2.6766936096248664,4.95,4.86,6
black,373,1.096099468953306e-17,0.16419225765832454,0.16419225765832454,0.16419225765832454,0.6318,VERB,ccomp,tells,66,4,go,he tells me about this debate apparently that had been going,Negative,0.5262699127197266,5.286559753980304,6.32,4.86,2
black,380,0.42173032948898714,-0.21765619472153364,0.6258044642564405,0.6258044642564405,0.7706000000000001,ADV,advmod,started,67,3,first,that had been going on in St Louis when I first,Neutral,0.3716577887535095,4.632153483510633,7.33,4.9,5
black,383,0.03483164340826222,0.030983955903213633,0.10064724271973804,0.10064724271973804,1.0508,NOUN,nsubj,told,68,1,people,going on in St Louis when I first started here People,Positive,0.5063655376434326,4.750145688538127,5.7,3.77,6
black,390,9.655644191231138e-17,0.8486549677030304,0.8486549677030304,0.8486549677030304,0.5292,ADJ,amod,man,68,8,white,first started here People told him Oh no no she's white,Positive,0.5002429485321045,3.941759813814696,6.18,3.35,5
black,393,-1.0709065499075585e-17,0.37836885769289497,0.37836885769289497,0.37836885769289497,0.3234,ADJ,acomp,'s,69,2,white,People told him Oh no no she's white man she's white,Very Negative,0.27942153811454773,3.941759813814696,6.18,3.35,5
black,395,-0.005181842693441898,0.02270956435053104,0.012345878963647241,0.012345878963647241,0.4386,VERB,ccomp,told,69,4,sound,him Oh no no she's white man she's white she sounds,Very Positive,0.5100497007369995,3.8641549560020256,6.45,4.14,5
black,401,-1.1893679539384284e-17,0.17162662100767834,0.17162662100767834,0.17162662100767834,1.1614,VERB,conj,sounds,69,9,convince,man she's white she sounds white she's white and he convinced,Positive,0.3435512185096741,2.9804578922761,5.45,4.39,8
black,404,0.33386841595430555,-0.11169741571412718,-0.11169741571412718,0.5560394161944838,1.8354000000000004,VERB,conj,sounds,69,12,meet,she sounds white she's white and he convinced having never met,Positive,0.2674519121646881,4.254475567803871,6.09,3.71,4
black,409,5.305550846232406e-17,0.3848103291512235,0.3848103291512235,0.3848103291512235,0.4266,ADJ,acomp,was,69,17,black,and he convinced having never met me that I was black,Very Positive,0.315750390291214,3.932778070060551,5.4,3.58,5
black,417,2.258948577862231e-17,0.24417474008121567,0.24417474008121567,0.24417474008121567,0.5071999999999999,ADJ,acomp,was,72,4,right,I was black Well as it turns out he was right,Very Negative,0.3978618085384369,5.310542504215177,7.32,5.0,5
black,421,-4.698145190911431e-19,0.30595143521549056,0.30595143521549056,0.30595143521549056,0.9706,ADJ,acomp,am,74,4,black,as it turns out he was right I I am black,Negative,0.2623756229877472,3.932778070060551,5.4,3.58,5
black,431,3.985892384736692e-17,0.2948606134005399,0.2948606134005399,0.2948606134005399,0.9334,NOUN,pobj,with,76,4,head,black But this whole debate sort of messed with my head,Negative,0.52244633436203,4.277563376055919,5.86,4.45,4
black,441,0.0056630941162696714,0.10420201806278238,0.11552820629532173,0.11552820629532173,1.2376,NOUN,attr,am,78,4,market,head a little bit I thought here I am major market,Negative,0.7965601086616516,3.266936911159173,6.21,3.55,6
black,446,1.0495840481607539e-16,0.6234211862454866,0.6234211862454866,0.6234211862454866,1.5681999999999998,NOUN,pobj,of,78,9,dream,thought here I am major market fantastic job of my dreams,Very Positive,0.5562452673912048,3.832445041174111,7.43,4.37,5
black,462,0.007151430697644902,0.06880746131556,0.0013338522181742332,0.08311032271084978,1.2914,VERB,ROOT,hatch,80,3,hatch,who I am all of who I am So I hatch,Very Negative,0.751555323600769,2.816241299991783,5.26,4.9,5
black,470,-0.08350263868282526,0.1865147657833309,0.1865147657833309,0.01950948841768037,0.5238,VERB,ROOT,tell,81,5,tell,So I hatch the secret plan This mission I didn't tell,Very Negative,0.6417765617370605,4.94423584379348,5.27,3.86,4
black,476,-2.702054996269347e-17,0.23455797716781476,0.23455797716781476,0.23455797716781476,0.4484,VERB,ROOT,going,82,3,go,This mission I didn't tell anybody about it I am going,Negative,0.5855342149734497,5.286559753980304,6.32,4.86,2
black,483,0.33703770844552605,0.19365675414298936,0.8677321710340413,0.8677321710340413,0.3056,NOUN,pobj,on,84,5,air,it I am going to start dropping hints on the air,Negative,0.5759831666946411,3.850707485374537,6.71,3.25,3
black,496,0.39191678914497374,-0.07737211226149113,0.7064614660284562,0.7064614660284562,0.6248,ADJ,amod,hint,86,4,first,so people will know who I am And so my first,Very Positive,0.7973028421401978,4.632153483510633,7.33,4.9,5
black,504,-0.1768254747720176,0.3690240121618911,0.01537306261785588,0.01537306261785588,0.9724,VERB,relcl,article,88,2,read,so my first hint is me discussing an article I'd read,Neutral,0.4857456684112549,4.090011024007147,6.73,3.7,4
black,507,-3.0655719758287807e-17,0.2348752038693929,0.2348752038693929,0.2348752038693929,0.8078,NOUN,pobj,in,88,5,magazine,hint is me discussing an article I'd read in Essence magazine,Neutral,0.8652507662773132,3.228913405994688,6.24,4.2,8
black,528,5.176798620639069e-17,0.6538230225014477,0.6538230225014477,0.6538230225014477,0.653,VERB,ccomp,think,93,4,know,targets African-American women and so I think surely now they know,Positive,0.34939154982566833,5.465057008380561,6.82,3.24,4
black,534,1.9585573637679985e-17,0.19396453047587983,0.19396453047587983,0.19396453047587983,1.3904,VERB,xcomp,got,96,2,know,think surely now they know They know They got to know,Positive,0.2655717730522156,5.465057008380561,6.82,3.24,4
black,540,0.3080289630528993,0.05599884888516082,0.6720567749909593,0.6720567749909593,1.0444,NOUN,pobj,to,97,5,rest,know They got to know now Debate put to a rest,Positive,0.5073480010032654,4.035909798456609,7.86,2.29,4
black,547,0.047621466210384066,-0.20243091767365118,-0.2079229080362237,-0.10718798525288303,1.1232,NOUN,pobj,about,98,7,town,put to a rest So I am now all about town,Negative,0.24267840385437012,4.101918833680424,5.59,3.81,4
black,562,0.1907979839969463,0.5136778098510136,0.8952737778449062,0.8952737778449062,0.7806,NOUN,compound,store,101,4,grocery,to recognize me just from my voice I'm at the grocery,Positive,0.5101729035377502,2.44870631990508,6.62,3.48,7
black,567,0.043802207402104505,-0.26185367762990314,-0.17424926282569408,-0.17424926282569408,1.2946000000000002,NOUN,dobj,chasing,101,9,kid,my voice I'm at the grocery store I'm chasing my kids,Positive,0.7445316314697266,4.238046103128795,7.23,4.71,3
black,572,0.2245255657954273,-0.3776106347713783,0.07144049681947628,0.07144049681947628,0.44,NOUN,pobj,at,101,14,zoo,grocery store I'm chasing my kids at the St Louis zoo,Neutral,0.5503823161125183,2.8432327780980096,7.0,5.63,3
black,576,0.012778485875116652,0.03236954547082207,0.05792651722105537,0.05792651722105537,1.3008,NOUN,nsubj,recognizing,103,1,people,my kids at the St Louis zoo yelling at them people,Positive,0.3841841518878937,4.750145688538127,5.7,3.77,6
black,580,9.8617772859927e-18,0.1464005674493085,0.1464005674493085,0.1464005674493085,0.9534,NOUN,dobj,recognizing,103,5,voice,St Louis zoo yelling at them people are recognizing my voice,Positive,0.7295200824737549,3.642958879409791,6.5,3.25,5
black,588,0.3370377084455261,0.18155576097364326,0.8556311778646952,0.8556311778646952,0.4102,NOUN,pobj,on,105,6,air,recognizing my voice I'm gonna drop another hint on the air,Positive,0.8381388187408447,3.850707485374537,6.71,3.25,3
black,598,-2.7624145755359075e-18,0.051307275469200046,0.051307275469200046,0.051307275469200046,1.327,VERB,xcomp,described,108,1,try,air I'm enjoying the secret mission And so I described trying,Positive,0.8460682034492493,4.3858742739041965,5.64,4.0,3
black,609,9.64838530572776e-17,0.6497435519414992,0.6497435519414992,0.6497435519414992,1.2468,VERB,xcomp,got,111,2,know,to make my mother's collard greens Boom They got to know,Positive,0.6608007550239563,5.465057008380561,6.82,3.24,4
black,619,4.900354413843662e-17,0.2788307296534942,0.2788307296534942,0.2788307296534942,0.3944,NOUN,attr,'m,113,8,woman,know They got to know now that I'm a black woman,Positive,0.398077130317688,4.3457069212784285,7.09,3.8,5
black,638,0.32540661165883417,0.12240887846682885,-0.1430088936778708,0.7732221017844969,0.3268,ADJ,amod,group,114,19,small,an education panel discussion after it's over I'm in a small,Neutral,0.8267195224761963,3.804412059137714,5.76,3.43,5
black,645,8.616469613819833e-18,0.18889845173347783,0.18889845173347783,0.18889845173347783,0.4034,VERB,conj,'m,116,2,talk,I'm in a small group of people and we are talking,Neutral,0.5159361958503723,4.639546250452347,6.64,3.38,4
black,663,-0.031327564235436076,-0.1538183961924057,-0.21647352466327777,-0.21647352466327777,0.633,NOUN,pobj,for,118,6,people,to me and he says You speak well for your people,Positive,0.8384788036346436,4.750145688538127,5.7,3.77,6
black,670,-0.27486003965924505,0.23414171368290262,-0.31557836563558744,-0.31557836563558744,0.484,VERB,ccomp,feel,120,4,say,well for your people I could feel what you just said,Positive,0.8735800981521606,4.92236209678479,5.91,4.43,3
black,673,-1.6608441771040385e-18,0.05756637429619301,0.05756637429619301,0.05756637429619301,0.5224,VERB,ROOT,feel,121,3,feel,people I could feel what you just said I could feel,Positive,0.29356732964515686,4.505014240084107,6.27,4.05,4
black,677,0.38200205623496786,-0.10927961657105828,0.6547244958988774,0.6547244958988774,0.9128,NOUN,pobj,in,121,7,stomach,what you just said I could feel it in my stomach,Negative,0.608677327632904,3.237040791379191,4.53,3.76,7
black,681,0.31841434532281643,-0.0427771223887419,-0.1439263370159153,0.5940515682568909,0.6000000000000001,NOUN,pobj,to,122,4,heart,I could feel it in my stomach rising to my heart,Negative,0.42162495851516724,4.095308861385381,6.95,5.07,5
black,687,0.2748600396592451,-0.06145006486069266,0.48827001445779744,0.48827001445779744,0.4402,VERB,conj,feel,121,9,say,stomach rising to my heart to my throat and I said,Very Negative,0.6403490900993347,4.92236209678479,5.91,4.43,3
black,696,0.3759323031265134,0.08764347843718423,0.8395080846902108,0.8395080846902108,0.3818,VERB,ccomp,are,124,2,refer,I said to him well well what people are you referring,Positive,0.8814170360565186,2.574031267727719,5.18,4.09,5
black,707,4.31826619651432e-18,0.08625868799051413,0.08625868799051413,0.08625868799051413,0.7116,VERB,ROOT,know,127,3,know,to Now mhm I knew what he meant We all know,Very Positive,0.40996140241622925,5.465057008380561,6.82,3.24,4
black,713,9.071953849416867e-17,0.614540978372895,0.614540978372895,0.614540978372895,1.4876,VERB,conj,know,127,5,want,he meant We all know what he meant but I wanted,Very Positive,0.37740984559059143,5.148352740207044,6.0,5.29,4
black,724,5.081158851318891e-17,0.27582165841827805,0.27582165841827805,0.27582165841827805,0.2205999999999999,VERB,ROOT,wanted,131,2,want,him to say it out of his own mouth I wanted,Positive,0.34849652647972107,5.148352740207044,6.0,5.29,4
black,727,1.7288837655665217e-18,0.05784419788237777,0.05784419788237777,0.05784419788237777,0.3772,VERB,ccomp,wanted,132,3,say,it out of his own mouth I wanted him to say,Negative,0.45298466086387634,4.92236209678479,5.91,4.43,3
black,731,4.3947609882324716e-17,0.47239878258004625,0.47239878258004625,0.47239878258004625,0.7332000000000001,VERB,conj,wanted,131,4,say,own mouth I wanted him to say it and he said,Positive,0.7045971155166626,4.92236209678479,5.91,4.43,3
black,734,0.45083900189724163,-0.3934446984146212,-0.3934446984146212,0.5082333053798619,0.8598000000000001,VERB,ROOT,know,134,2,know,wanted him to say it and he said it You know,Positive,0.7353489995002747,5.465057008380561,6.82,3.24,4
black,744,-0.04424143839996558,0.23440920194086887,0.05260854535067811,0.14592632514093767,0.3776,VERB,ROOT,threatening,137,3,threaten,know black people So now it's really gurgling It is threatening,Negative,0.5515449047088623,2.639486489268586,2.6,6.05,8
black,751,1.514949470916657e-17,0.14322635479727386,0.14322635479727386,0.14322635479727386,0.523,NOUN,pobj,of,138,7,mouth,gurgling It is threatening to come spewing out of my mouth,Negative,0.6837131381034851,3.7264011621029214,5.59,4.14,5
black,754,3.170241830129202e-17,0.24542406685318932,0.12877127629442667,0.24542406685318932,0.4774,ADJ,acomp,am,139,3,embarrassed,threatening to come spewing out of my mouth I am embarrassed,Negative,0.6637951135635376,3.039017321997412,3.51,5.38,11
black,768,9.066264580453144e-17,0.4157173592502887,0.4157173592502887,0.4157173592502887,0.8644000000000001,VERB,ROOT,dare,142,2,dare,standing around and they're hearing this and I'm angry How dare,Positive,0.6859158873558044,3.4513258084895195,4.67,5.6,4
black,799,0.08415554719547769,0.46550438056858195,-0.11250617433078082,0.6338154749595372,0.8108000000000001,NOUN,nsubj,speaks,150,2,father,had any training She said Well I said Nope My father,Very Negative,0.5998395681381226,4.451479405124862,6.88,3.68,6
black,828,-5.5857127313806e-17,-0.14695021701780653,-0.06391739491148456,-0.14695021701780653,1.1924,ADJ,advmod,old,153,10,little,God-given talent no training no classes none of that just little,Very Negative,0.6587921380996704,4.867862121672578,5.91,4.2,6
black,845,-0.03528564533975571,0.04292793628482372,-0.02764335439468768,-0.02764335439468768,0.5237999999999999,NOUN,pobj,in,157,5,drop,the secret mission so I decide to engage in a drop,Neutral,0.4944312870502472,3.823604628355158,4.23,4.67,4
black,848,1.3067769449656895e-17,0.4028373624929475,0.4028373624929475,0.4028373624929475,0.2124,NOUN,dobj,engage,157,8,moment,so I decide to engage in a drop the mic moment,Neutral,0.45986470580101013,3.979548374704095,6.1,4.05,6
black,856,8.709347869794839e-18,0.12663686633962104,0.12663686633962104,0.12663686633962104,0.4046,VERB,advcl,'s,159,3,drop,the mic moment It's closer to Thanksgiving now when I drop,Positive,0.7296053767204285,3.823604628355158,4.23,4.67,4
black,868,8.576868059151467e-17,0.7832798249733756,0.7832798249733756,0.7832798249733756,0.2024,NOUN,pobj,of,159,14,recipe,hint and I describe again um one of my mother's recipes,Very Positive,0.42096254229545593,2.589949601325708,6.85,4.45,6
black,871,0.4325908724096512,-0.2181041214993417,0.6470776233199608,0.6470776233199608,0.4408,NOUN,pobj,for,159,17,dress,describe again um one of my mother's recipes for cornbread dressing,Neutral,0.4091202914714813,3.648164778574001,6.42,4.73,5
black,874,0.03825963894104529,0.2322758604444051,0.3087951383264956,0.3087951383264956,0.4859999999999999,VERB,conj,drop,159,19,take,one of my mother's recipes for cornbread dressing and I took,Neutral,0.3991944491863251,4.984275214375496,4.82,4.52,4
black,919,0.07754331462934667,0.016491490162017397,0.22021262988712842,0.1715781194207107,0.9224,VERB,ROOT,go,170,3,go,mic moment they got to know I'm through I can go,Positive,0.7434180378913879,5.286559753980304,6.32,4.86,2
black,935,5.2640165820963167e-17,0.880679712514854,0.880679712514854,0.880679712514854,0.6728000000000001,NOUN,pobj,on,173,5,air,black They know I'm black now And so on the air,Very Positive,0.5333425998687744,3.850707485374537,6.71,3.25,3
black,970,-0.0029239276941126504,-0.010641623644051757,0.16279222519129327,-0.016489479032277054,0.4492,NOUN,dobj,had,179,5,touch,had a single strand of pearls They both had a touch,Neutral,0.7839687466621399,3.877083256650651,6.64,4.9,5
black,981,5.3081449244127503e-17,0.3449380030024183,0.3449380030024183,0.3449380030024183,0.2287999999999999,NOUN,pobj,by,179,15,hand,of makeup and one of them took me by each hand,Neutral,0.7984436750411987,4.154210882206974,5.9,3.98,4
black,998,8.354911763095154e-18,0.25771650826163023,0.25771650826163023,0.25771650826163023,0.3419999999999999,VERB,conj,had,179,23,say,the other leaned in so she could hear and she said,Positive,0.4414321184158325,4.92236209678479,5.91,4.43,3
black,1004,-1.6252914408095077e-17,0.4952964389427912,0.4952964389427912,0.4952964389427912,0.7929999999999999,ADJ,acomp,are,179,29,proud,could hear and she said to me We are so proud,Positive,0.4969298839569092,3.63002085111341,7.0,5.55,5
black,1009,0.04808546507268196,0.028357803772100065,0.08426967943546788,0.12452873391746398,0.8004,VERB,ROOT,got,185,3,get,to me We are so proud of you And I got,Positive,0.5054040551185608,5.3687943501614095,6.09,3.67,3
black,1017,1.1829468129596583e-18,0.052550381305853426,0.052550381305853426,0.052550381305853426,0.1806,VERB,ROOT,knew,186,3,know,And I got a lump in my throat And I knew,Very Negative,0.36042332649230957,5.465057008380561,6.82,3.24,4
black,1030,8.352444315908684e-18,0.08524930556923795,0.08524930556923795,0.08524930556923795,0.8878,VERB,ROOT,making,189,6,make,meant They're looking at me this young talented black woman making,Positive,0.6324303150177002,4.849886014263404,6.09,3.67,4
black,1035,-0.002337071354328301,0.011230125653867615,-0.05304881062007879,0.006555982945211009,0.5578,ADJ,amod,station,189,11,big,this young talented black woman making her mark on this big,Positive,0.5063303709030151,4.541891125096001,5.64,4.33,3
black,1043,-1.3622241317103295e-18,-0.05154141971780158,-0.05154141971780158,-0.05154141971780158,0.5348,VERB,ROOT,looking,190,3,look,on this big radio station in St Louis But I'm looking,Positive,0.510578453540802,4.9970017280413215,5.95,3.76,4
black,1048,0.14609420089757388,-0.0003942699332471743,0.29179413186190056,0.29179413186190056,0.4404,VERB,ROOT,seen,191,3,see,in St Louis But I'm looking at them They have seen,Negative,0.40433961153030396,5.115257608061224,6.27,3.9,3
black,1062,7.368906668470114e-17,0.61488350848449,0.61488350848449,0.61488350848449,0.7572,VERB,xcomp,have,195,2,see,than I will ever see or experience or have to see,Neutral,0.898840606212616,5.115257608061224,6.27,3.9,3
black,1066,0.24983502262752447,-0.3242848370222731,0.17538520823277573,0.17538520823277573,0.9142,VERB,ROOT,looking,196,2,look,see or experience or have to see or experience I'm looking,Neutral,0.9150396585464478,4.9970017280413215,5.95,3.76,4
black,1068,1.4586465451261559e-19,0.0004689380958240198,0.0004689380958240198,0.0004689380958240198,0.6498,NOUN,pobj,at,196,4,history,experience or have to see or experience I'm looking at history,Neutral,0.9294840097427368,3.631545227834309,6.0,3.38,7
black,1075,0.32198641289403623,0.18588895807725722,0.8298617838653293,0.8298617838653293,0.349,VERB,conj,looking,196,10,feel,I'm looking at history in its face and I can feel,Positive,0.6940326690673828,4.505014240084107,6.27,4.05,4
black,1082,0.008492684003701156,-0.002386345948915017,0.006412410389283992,0.014599022058487293,0.2714,NOUN,pobj,in,198,6,debate,and I can feel it One day we're in this debate,Positive,0.7212305068969727,2.6766936096248664,4.95,4.86,6
black,1085,0.3370377084455261,0.1586457966964896,0.8327212135875416,0.8327212135875416,0.286,NOUN,pobj,on,198,9,air,feel it One day we're in this debate on the air,Positive,0.5624797940254211,3.850707485374537,6.71,3.25,3
black,1094,0.0734055713833273,0.04991195973342342,0.19672310250007796,0.19672310250007796,0.0838,NOUN,attr,was,200,4,controversy,the air We were talking about a it was a controversy,Neutral,0.7042306065559387,1.9242792860618816,3.21,6.09,11
